143,1,A
2,1,A
57,1,A
73,1,A
47,1,A
81,1,A
24,1,A
87,1,A
12,1,A
160,1,A
37,2,A
97,2,A
117,2,A
50,2,A
52,2,A
299,2,A
355,2,A
23,2,A
21,2,A
29,2,A
142,2,A
78,2,A
159,2,A
196,2,A
7,2,B
140,2,B
164,2,B
15,2,B
243,2,B
56,2,B
253,2,B
10,2,B
9,2,B
144,2,B
126,2,B
6,2,B
71,2,B
256,3,A
19,3,A
42,3,A
373,3,A
171,3,A
328,3,A
32,3,A
351,3,A
95,3,A
378,3,B
79,3,B
245,3,B
257,3,B
338,3,B
68,3,B
172,3,B
82,3,B
221,3,B
41,3,C
445,3,C
48,3,C
13,3,C
439,3,C
420,3,C
107,3,C
182,3,C
251,3,C
582,4,A
188,4,A
595,4,A
564,4,A
72,4,A
581,4,A
583,4,A
587,4,A
59,4,A
566,4,B
134,4,B
402,4,B
431,4,B
597,4,B
573,4,B
563,4,B
102,4,C
588,4,B
565,4,C
578,4,C
593,4,C
562,4,C
357,4,D
145,4,C
93,4,D
584,4,D
425,4,D
579,4,D
596,4,D
574,4,D
575,4,D
163,4,E
419,4,E
561,4,D
567,4,D
569,4,E
571,4,E
572,4,E
568,4,E
577,4,E
576,4,E
334,4,E
590,4,F
591,4,F
358,4,F
570,4,F
399,4,F
405,4,F
580,4,F
43,4,F
131,1,A
