143,1,A
63,1,A
97,1,A
73,1,A
87,1,A
21,1,A
23,1,A
320,1,A
196,1,A
12,1,A
131,1,A
299,2,A
328,2,A
42,2,A
117,2,A
57,2,A
29,2,A
142,2,A
81,2,A
159,2,B
113,2,B
24,2,B
74,2,B
2,2,B
172,2,B
164,2,B
140,2,C
243,2,C
144,2,C
15,2,C
10,2,C
126,2,C
160,2,C
9,2,C
47,2,C
6,2,C
355,3,A
127,3,A
95,3,A
32,3,A
45,3,A
19,3,A
256,3,A
72,3,A
52,3,A
54,3,B
373,3,B
341,3,B
220,3,B
50,3,B
378,3,B
155,3,B
351,3,B
307,3,B
115,3,C
78,3,C
245,3,C
221,3,C
28,3,C
219,3,C
257,3,C
334,3,C
7,3,C
352,3,D
253,3,D
107,3,D
48,3,D
13,3,D
92,3,D
41,3,D
56,3,E
36,3,E
98,3,E
251,3,E
171,3,E
69,3,E
400,3,E
71,3,E
31,3,E
39,4,A
410,4,A
440,4,A
182,4,A
321,4,A
359,4,A
43,4,A
325,4,A
422,4,A
435,4,A
415,4,B
134,4,B
105,4,B
188,4,B
411,4,B
416,4,B
426,4,B
429,4,B
442,4,B
295,4,B
333,4,B
79,4,C
65,4,C
60,4,C
393,4,C
30,4,C
402,4,C
413,4,C
427,4,C
436,4,C
406,4,C
444,4,D
51,4,D
345,4,D
322,4,D
428,4,D
438,4,D
201,4,D
408,4,D
430,4,D
434,4,D
58,4,E
68,4,E
338,4,E
240,4,E
418,4,E
357,4,F
93,4,F
102,4,F
432,4,F
445,4,F
163,4,F
424,4,F
124,4,F
419,4,F
437,4,F
439,4,G
441,4,G
358,4,G
417,4,G
420,4,G
423,4,G
425,4,G
431,4,G
399,4,G
